variable,variable_trajectory_group
cost_enfu_fuel_coal_usd_per_tonne,47
cost_enfu_fuel_coke_usd_per_tonne,47
cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu,47
cost_enfu_fuel_natural_gas_usd_per_mmbtu,47
cost_enfu_fuel_crude_usd_per_m3,47
cost_enfu_fuel_diesel_usd_per_m3,47
cost_enfu_fuel_gasoline_usd_per_m3,47
cost_enfu_fuel_kerosene_usd_per_m3,47
cost_enfu_fuel_oil_usd_per_m3,47
nemomod_entc_capital_cost_pp_coal_mm_usd_per_gw,48
nemomod_entc_capital_cost_pp_coal_ccs_mm_usd_per_gw,48
nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,48
nemomod_entc_capital_cost_pp_gas_ccs_mm_usd_per_gw,48
nemomod_entc_capital_cost_pp_oil_mm_usd_per_gw,48
nemomod_entc_fixed_cost_pp_coal_mm_usd_per_gw,48
nemomod_entc_fixed_cost_pp_coal_ccs_mm_usd_per_gw,48
nemomod_entc_fixed_cost_pp_gas_mm_usd_per_gw,48
nemomod_entc_fixed_cost_pp_gas_ccs_mm_usd_per_gw,48
nemomod_entc_fixed_cost_pp_oil_mm_usd_per_gw,48
nemomod_entc_variable_cost_pp_coal_usd_per_mwh,48
nemomod_entc_variable_cost_pp_coal_ccs_usd_per_mwh,48
nemomod_entc_variable_cost_pp_gas_usd_per_mwh,48
nemomod_entc_variable_cost_pp_gas_ccs_usd_per_mwh,48
nemomod_entc_variable_cost_pp_oil_usd_per_mwh,48
nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw,49
nemomod_entc_fixed_cost_pp_nuclear_mm_usd_per_gw,49
nemomod_entc_variable_cost_pp_nuclear_usd_per_mwh,49
nemomod_enst_capital_cost_st_batteries_usd_per_kwh,50
nemomod_enst_capital_cost_st_compressed_air_usd_per_kwh,50
nemomod_enst_capital_cost_st_flywheels_usd_per_kwh,50
nemomod_enst_capital_cost_st_pumped_hydro_usd_per_kwh,50
exports_enfu_pj_fuel_ammonia,51
exports_enfu_pj_fuel_coal,51
exports_enfu_pj_fuel_crude,51
exports_enfu_pj_fuel_diesel,51
exports_enfu_pj_fuel_electricity,51
exports_enfu_pj_fuel_gasoline,51
exports_enfu_pj_fuel_hydrocarbon_gas_liquids,51
exports_enfu_pj_fuel_hydrogen,51
exports_enfu_pj_fuel_kerosene,51
exports_enfu_pj_fuel_natural_gas,51
exports_enfu_pj_fuel_natural_gas_liquid,51
exports_enfu_pj_fuel_oil,51
gdp_mmm_usd,52
population_gnrl_rural,53
population_gnrl_urban,53
elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_elec_appliances_to_gdppc,54
elasticity_scoe_enerdem_per_mmmgdp_other_se_elec_appliances_to_gdppc,54
elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_heat_energy_to_gdppc,54
elasticity_scoe_enerdem_per_mmmgdp_other_se_heat_energy_to_gdppc,54
elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,54
elasticity_scoe_enerdem_per_hh_residential_heat_energy_to_gdppc,54
elasticity_trde_mtkm_to_gdp_freight,55
elasticity_trde_pkm_to_gdppc_private_and_public,56
elasticity_trde_pkm_to_gdppc_regional,56
elasticity_ippu_cement_production_to_gdp,57
elasticity_ippu_chemicals_production_to_gdp,57
elasticity_ippu_electronics_production_to_gdp,57
elasticity_ippu_glass_production_to_gdp,57
elasticity_ippu_lime_and_carbonite_production_to_gdp,57
elasticity_ippu_metals_production_to_gdp,57
elasticity_ippu_mining_production_to_gdp,57
elasticity_ippu_paper_production_to_gdp,57
elasticity_ippu_plastic_production_to_gdp,57
elasticity_ippu_rubber_and_leather_production_to_gdp,57
elasticity_ippu_textiles_production_to_gdp,57
elasticity_ippu_wood_production_to_gdp,57
elasticity_ippu_product_use_lubricants_product_use_rate_to_gdppc,58
elasticity_ippu_product_use_ods_other_product_use_rate_to_gdppc,58
elasticity_ippu_product_use_ods_refrigeration_product_use_rate_to_gdppc,58
elasticity_ippu_product_use_paraffin_wax_product_use_rate_to_gdppc,58
