emission_avg_last_five_years,technical_cost,pareto_index,future_id
151.73524475097656,-140.30641174316406,0,1
108.26840209960938,-72.61054229736328,1,1
151.73524475097656,-140.30641174316406,2,1
122.96015167236328,-112.15460968017578,3,1
112.41139221191406,-93.77851104736328,4,1
109.11341857910156,-77.46513366699219,5,1
146.39627075195312,-134.86207580566406,6,1
119.69863891601562,-107.8787841796875,7,1
150.03152465820312,-135.6730499267578,8,1
128.103271484375,-113.94374084472656,9,1
118.43515014648438,-103.75882720947266,10,1
131.216552734375,-119.4624252319336,11,1
138.84889221191406,-124.2030029296875,12,1
140.53175354003906,-125.99282836914062,13,1
116.25445556640625,-101.39444732666016,14,1
112.02503967285156,-90.48528289794922,15,1
145.440673828125,-133.48959350585938,16,1
141.8448028564453,-127.19705200195312,17,1
144.7506866455078,-131.00625610351562,18,1
119.69863891601562,-107.8787841796875,19,1
109.38443756103516,-80.64266204833984,20,1
124.49042510986328,-112.59578704833984,21,1
136.75697326660156,-124.125,22,1
110.01175689697266,-84.86947631835938,23,1
118.1001205444336,-101.60565185546875,24,1
110.7181167602539,-86.81442260742188,25,1
111.02031707763672,-89.01901245117188,26,1
115.73091125488281,-98.34056854248047,27,1
142.5853729248047,-129.18939208984375,28,1
129.11915588378906,-114.28076934814453,29,1
114.83110809326172,-97.962890625,30,1
136.02963256835938,-121.22767639160156,31,1
109.84736633300781,-82.40935516357422,32,1
143.6685791015625,-130.00233459472656,33,1
133.6367950439453,-120.25507354736328,34,1
129.65577697753906,-117.17108917236328,35,1
150.4662628173828,-137.66539001464844,36,1
130.07884216308594,-117.5648193359375,37,1
133.6933135986328,-120.59429931640625,38,1
150.7992706298828,-139.22349548339844,39,1
96.39063262939453,-23.211135864257812,0,2
150.8798370361328,-119.9488754272461,1,2
150.8798370361328,-119.9488754272461,2,2
96.39063262939453,-23.211135864257812,3,2
97.625,-32.89814758300781,4,2
119.58138275146484,-94.01786041259766,5,2
108.5247802734375,-78.3873062133789,6,2
115.49462127685547,-92.63085174560547,7,2
140.6771697998047,-113.89290618896484,8,2
120.63131713867188,-97.9566650390625,9,2
97.63018798828125,-42.31398010253906,10,2
113.29944610595703,-87.07014465332031,11,2
96.61418914794922,-28.40439224243164,12,2
110.7410888671875,-84.01445770263672,13,2
98.9299545288086,-49.035030364990234,14,2
127.54364776611328,-102.6695327758789,15,2
125.87593078613281,-99.34072875976562,16,2
129.7980499267578,-104.28287506103516,17,2
145.3334197998047,-119.11449432373047,18,2
100.48431396484375,-61.16146469116211,19,2
138.372802734375,-110.38448333740234,20,2
143.843505859375,-114.1436767578125,21,2
149.94398498535156,-119.40829467773438,22,2
104.5015640258789,-69.1122055053711,23,2
115.1050033569336,-88.2046890258789,24,2
99.1845474243164,-54.06501388549805,25,2
134.6749267578125,-107.94561767578125,26,2
97.72526550292969,-45.26609420776367,27,2
137.4424591064453,-108.6699447631836,28,2
102.13945770263672,-66.99398803710938,29,2
101.11386108398438,-66.27254486083984,30,2
131.4559783935547,-106.98143768310547,31,2
104.59664154052734,-73.2140884399414,32,2
105.65309143066406,-75.30778503417969,33,2
132.98553466796875,-107.2450942993164,34,2
109.35014343261719,-82.52739715576172,35,2
126.02393341064453,-99.6777572631836,36,2
99.80258178710938,-57.51445007324219,37,2
105.65309143066406,-75.30778503417969,38,2
144.7159881591797,-118.5493392944336,39,2
