aggregation_category,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Subsector_Category,Code,Country,Units,CSC.Subsector
Agricultural Burning,ch4,0.043555414,0.058282724,0.067383842,0.066880951,0.070056814,0.076948846,0.078818949,0.08726418,0.09694707,0.114058162,0.113104279,0.109084272,0.106934243,0.097152326,0.08319736,0.080300445,0.089592226,0.099637227,0.093787335,0.104989366,0.088917141,0.089944774,0.10968793,0.105896687,0.093973961,0.09138487,0.092348474,0.109052866,0.117346415,0.095804895,0.119354457,0.107304069,Agricultural Burning:ch4,LA,louisisna,MtCO2e,Agricultural Burning
Agricultural Burning,n2o,0.007141473,0.009001978,0.01046043,0.010225113,0.010746983,0.011725919,0.01211506,0.013338149,0.014714401,0.017300676,0.017230973,0.016629967,0.01633742,0.015158899,0.012535966,0.012303596,0.013560564,0.01528267,0.014793582,0.016120434,0.013670468,0.014036781,0.016947572,0.016474649,0.014647785,0.013999003,0.014066103,0.016536271,0.017776422,0.014274891,0.018042133,0.016239825,Agricultural Burning:n2o,LA,louisisna,MtCO2e,Agricultural Burning
Crop Residues,n2o,0.567268674,0.421656356,0.481299697,0.435404146,0.427340286,0.365990197,0.502512761,0.463818487,0.327439849,0.405488094,0.334494183,0.36047638,0.384950807,0.417779255,0.411382203,0.387181951,0.350978768,0.472456445,0.454324954,0.460742159,0.492981794,0.472036193,0.601877139,0.676804352,0.790867895,0.572426918,0.545416963,0.616053046,0.596232118,0.392438876,0.515026904,0.523035012,Crop Residues:n2o,LA,louisisna,MtCO2e,Crop Residues
Deforestation,co2,1.75,1.76,1.76,1.77,1.78,1.79,1.8,1.82,1.82,1.83,1.84,1.88,1.88,1.89,1.9,1.93,1.94,1.96,1.97,1.97,1.98,2,2.01,2.03,2.04,2.05,2.05,2.05,2.05,2.05,2.05,2.05,Deforestation:co2,LA,louisisna,MtCO2e,Deforestation
Electricity Production,ch4,0.013526087,0.013266356,0.014162852,0.015973338,0.016045411,0.016438266,0.014494261,0.0161982,0.017356602,0.017084701,0.017388613,0.016642662,0.017007399,0.016034756,0.017132251,0.018136363,0.014605147,0.015134805,0.01571446,0.014591564,0.017337188,0.019550821,0.017982,0.017696659,0.017395193,0.017802954,0.017167455,0.015668179,0.015902423,0.014853976,0.014183354,0.014862404,Electricity Production:ch4,LA,louisisna,MtCO2e,Electricity Production
Electricity Production,co2,40.47929737,40.62695718,42.29565328,43.47313386,45.2386417,45.78020549,41.57920093,45.03819418,47.4898456,46.93523053,47.68050353,43.17921168,45.7224567,42.55665987,44.79107801,46.32633585,41.25207065,41.77111503,43.32842154,41.13783448,46.13064594,50.4635436,46.29081147,44.19037361,42.67468118,42.63778775,40.60306077,38.10818891,38.93395481,35.83308382,33.02428978,35.36552305,Electricity Production:co2,LA,louisisna,MtCO2e,Electricity Production
Electricity Production,n2o,0.084145185,0.087894707,0.092800199,0.096713626,0.098227934,0.094153448,0.090447802,0.100297256,0.101254014,0.101574503,0.111317363,0.106773986,0.102881984,0.108214049,0.113446961,0.113317392,0.113004862,0.107953527,0.113086317,0.10841283,0.114768052,0.121607127,0.106799807,0.104000914,0.096991844,0.083072476,0.070439679,0.069733099,0.06800372,0.048905784,0.03277684,0.050993979,Electricity Production:n2o,LA,louisisna,MtCO2e,Electricity Production
Forestry - Harvested Wood Products,co2,-10.86061202,-10.86061202,-10.86061202,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,-10.15508812,Forestry - Harvested Wood Products:co2,LA,louisisna,MtCO2e,Forestry - Harvested Wood Products
Forestry - Sequestration,co2,-18.95218273,-18.90718277,-18.88218281,-18.83718285,-18.81218289,-18.77718294,-18.74218298,-18.69718302,-18.66218306,-19.1071831,-19.56218314,-20.01159867,-20.47101419,-20.93042971,-21.38984524,-21.82926076,-22.27867629,-22.95809181,-23.62750733,-24.30692286,-24.97633838,-25.65575391,-26.32516943,-26.99458495,-27.67400048,-27.813416,-27.95283153,-28.09224705,-28.22166257,-28.3610781,-28.17999596,-28.5170009,Forestry - Sequestration:co2,LA,louisisna,MtCO2e,Forestry - Sequestration
Fugitive Emissions,ch4,7.623181899,7.139509934,6.705175673,7.458484868,6.552542462,7.184333219,7.944604697,7.905588816,9.078178862,8.299574498,7.693718476,7.90562635,7.927880204,7.859696298,9.047661189,8.221227736,7.861601475,8.169862148,8.487956292,8.117718945,16.44651835,16.55821742,16.10568885,15.99166761,15.67002182,15.40559427,14.65937009,14.58106604,13.95045598,13.6496054,13.09968506,13.09410388,Fugitive Emissions:ch4,LA,louisisna,MtCO2e,Fugitive Emissions
