Subsector,Edgar_Subsector,Edgar_Class,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,CSC Sector,CSC Subsector,Gas,Units,Code
frst,LULUCF - Forest Land,LULUCF - Forest Land:CO2,-28.44061202,-28.37061202,-28.32061202,-27.54508812,-27.49508812,-27.43508812,-27.37508812,-27.30508812,-27.24508812,-27.66508812,-28.09508812,-28.51508812,-28.94508812,-29.37508812,-29.80508812,-30.21508812,-30.63508812,-31.28508812,-31.92508812,-32.57508812,-33.21508812,-33.86508812,-34.50508812,-35.14508812,-35.79508812,-35.90508812,-36.01508812,-36.12508812,-36.22508812,-36.33508812,-36.43508812,-36.54508812,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CO2,MtCO2e,LA
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:CH4,0.153684555,0.15102397,0.159611783,0.159980043,0.170925867,0.173320452,0.176275565,0.180897144,0.167756127,0.168871711,0.174702723,0.163376024,0.17000796,0.173574236,0.207972057,0.179501352,0.184671604,0.176013986,0.132442673,0.126482436,0.138498341,0.139153604,0.142365981,0.147696973,0.162074444,0.150989108,0.168858823,0.160573277,0.158756833,0.150754957,0.144677567,0.142072253,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,LA
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:CO2,108.0424543,105.1736485,111.6530629,113.1747856,115.5841611,115.0850933,119.5325082,126.8487419,112.5866849,111.8299857,118.6388015,105.8318128,109.5708119,108.2407108,115.1109743,108.9212785,118.8091557,115.8847291,112.2148908,104.9142372,111.626352,112.1183515,112.15582,109.3086101,107.1173343,106.7718807,111.8327151,116.6731664,121.0880728,122.6242322,117.3639343,116.7088723,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,LA
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:N2O,0.205854068,0.20149104,0.215254446,0.216099894,0.231749224,0.233760842,0.240388919,0.244619849,0.226790433,0.229490703,0.239212546,0.226034044,0.235539736,0.240578227,0.285458157,0.247835484,0.256815934,0.239872244,0.182389559,0.17516016,0.191585213,0.192676143,0.197362982,0.202434994,0.217480473,0.204213483,0.2277977,0.217401127,0.214285018,0.203984175,0.194358551,0.191677102,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrial Processes,IN - Industrial Processes,CH4,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:CO2,0.104878649,0.043809855,0.043463384,0.128252084,0.119301093,0.130732523,0.122022368,1.219048055,1.233734289,1.158055994,1.266883393,1.259684382,1.270735886,1.367071935,1.275819092,1.073915805,1.057442889,1.087318531,0.958169585,0.70541945,0.987660144,0.961933128,0.963433068,0.969505464,0.974995612,0.967479595,0.973287633,0.967550874,0.969650423,0.977712117,0.967985908,0.977434375,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:HFC,0.541051435185186,0.520705732407407,0.544550681481482,0.609288547222222,0.742570586111111,1.020267425,1.20027140833333,1.36638050185185,1.44276943518519,1.58940846574074,1.69515598703704,1.7773372037037,1.84559438888889,1.90935823055556,1.97337758148148,2.02212546296296,1.99531536851852,2.10088461944444,2.21579571666667,2.62504836388889,2.72866286296296,2.98599010925926,2.50333190555555,2.49567170925926,2.56243745092593,2.65293854722222,2.69144953055556,2.77023699166667,2.78255802777778,2.69748062222222,3.08759897777778,3.18772294259259,Industrial Processes,IN - Industrial Processes,HFC,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:N2O,0.0216420574074074,0.0208282292962963,0.0217820272592593,0.0243715418888889,0.0297028234444444,0.040810697,0.0480108563333333,0.0546552200740741,0.0577107774074074,0.0635763386296296,0.0678062394814815,0.0710934881481482,0.0738237755555556,0.0763743292222222,0.0789351032592593,0.0808850185185185,0.0798126147407407,0.0840353847777778,0.0886318286666667,0.105001934555556,0.109146514518519,0.11943960437037,0.100133276222222,0.0998268683703704,0.102497498037037,0.106117541888889,0.107657981222222,0.110809479666667,0.111302321111111,0.107899224888889,0.123503959111111,0.127508917703704,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrial Processes,IN - Industrial Processes,PFC,MtCO2e,LA
ippu,IN - Industrial Processes,IN - Industrial Processes:SF6,0.0216420574074074,0.0208282292962963,0.0217820272592593,0.0243715418888889,0.0297028234444444,0.040810697,0.0480108563333333,0.0546552200740741,0.0577107774074074,0.0635763386296296,0.0678062394814815,0.0710934881481482,0.0738237755555556,0.0763743292222222,0.0789351032592593,0.0808850185185185,0.0798126147407407,0.0840353847777778,0.0886318286666667,0.105001934555556,0.109146514518519,0.11943960437037,0.100133276222222,0.0998268683703704,0.102497498037037,0.106117541888889,0.107657981222222,0.110809479666667,0.111302321111111,0.107899224888889,0.123503959111111,0.127508917703704,Industrial Processes,IN - Industrial Processes,SF6,MtCO2e,LA
lndu,LULUCF - Deforestation,LULUCF - Deforestation:CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CH4,MtCO2e,LA
lndu,LULUCF - Deforestation,LULUCF - Deforestation:CO2,1.75,1.76,1.76,1.77,1.78,1.79,1.8,1.82,1.82,1.83,1.84,1.88,1.88,1.89,1.9,1.93,1.94,1.96,1.97,1.97,1.98,2,2.01,2.03,2.04,2.05,2.05,2.05,2.05,2.05,2.05,2.05,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CO2,MtCO2e,LA
lndu,LULUCF - Other Land,LULUCF - Other Land:CO2,-1.372182728,-1.397182769,-1.422182811,-1.447182852,-1.472182894,-1.497182935,-1.522182977,-1.547183018,-1.572183059,-1.597183101,-1.622183142,-1.651598666,-1.68101419,-1.710429714,-1.739845238,-1.769260762,-1.798676286,-1.82809181,-1.857507334,-1.886922858,-1.916338382,-1.945753906,-1.97516943,-2.004584954,-2.034000478,-2.063416002,-2.092831526,-2.12224705,-2.151662574,-2.181078098,-1.899995955,-2.127000904,"Land Use, Land Use Change, and Forestry",LULUCF - Other Land,CO2,MtCO2e,LA
lsmm,AG - Livestock,AG - Livestock:CH4,0.226594201,0.209485848,0.21014247,0.221456863,0.212875988,0.218783151,0.208779242,0.196793048,0.208318906,0.201749902,0.205171064,0.205727915,0.190298755,0.183650956,0.188892199,0.182514217,0.177493212,0.18302611,0.170455896,0.175511829,0.170714651,0.163961777,0.161603131,0.158997894,0.159714051,0.163956626,0.156215709,0.150944155,0.156072565,0.165949859,0.157256439,0.151107178,Agriculture,AG - Livestock,CH4,MtCO2e,LA
lsmm,AG - Livestock,AG - Livestock:N2O,0.04108663,0.040086112,0.037627429,0.035345297,0.034585412,0.035690833,0.05124965,0.037147802,0.049092975,0.049735935,0.065115038,0.064163444,0.014131589,0.01259082,0.058166507,0.053811492,0.057515022,0.051457199,0.050805705,0.05144433,0.0514685,0.040592654,0.038799768,0.037366715,0.037114245,0.037758292,0.035264122,0.035228494,0.038045667,0.08933881,0.098125267,0.079211555,Agriculture,AG - Livestock,N2O,MtCO2e,LA
lvst,AG - Livestock,AG - Livestock:CH4,2.009723609,1.927898463,1.837149891,1.917674877,1.854711975,1.900456754,1.904495355,1.887149581,1.856627993,1.816378041,1.799500103,1.721018322,1.707884028,1.736745462,1.759775074,1.758100954,1.690665275,1.740730012,1.806172561,1.792015842,1.716357622,1.613389645,1.589824101,1.576135525,1.578885755,1.601458198,1.547581329,1.56479229,1.636402137,1.498091596,1.495980603,1.539811251,Agriculture,AG - Livestock,CH4,MtCO2e,LA
