accounted,aggregation_category,gas,variable_field
1,Agricultural Burning,ch4,emission_co2e_ch4_agrc_biomass_burning
1,Agricultural Burning,n2o,emission_co2e_n2o_agrc_biomass_burning
1,Crop Residues,n2o,emission_co2e_n2o_agrc_crop_residues
1,Deforestation,co2,emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded|emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_other|emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures|emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements|emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands|emission_co2e_co2_lndu_conversion_forests_primary_to_croplands|emission_co2e_co2_lndu_conversion_forests_primary_to_flooded|emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_primary_to_other|emission_co2e_co2_lndu_conversion_forests_primary_to_pastures|emission_co2e_co2_lndu_conversion_forests_primary_to_settlements|emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands|emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands|emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded|emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_secondary_to_other|emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures|emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements|emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands
1,Electricity Production,ch4,emission_co2e_ch4_entc_generation_pp_biogas|emission_co2e_ch4_entc_generation_pp_biomass|emission_co2e_ch4_entc_generation_pp_coal|emission_co2e_ch4_entc_generation_pp_coal_ccs|emission_co2e_ch4_entc_generation_pp_gas|emission_co2e_ch4_entc_generation_pp_gas_ccs|emission_co2e_ch4_entc_generation_pp_geothermal|emission_co2e_ch4_entc_generation_pp_hydropower|emission_co2e_ch4_entc_generation_pp_nuclear|emission_co2e_ch4_entc_generation_pp_ocean|emission_co2e_ch4_entc_generation_pp_oil|emission_co2e_ch4_entc_generation_pp_solar|emission_co2e_ch4_entc_generation_pp_waste_incineration|emission_co2e_ch4_entc_generation_pp_wind
1,Electricity Production,co2,emission_co2e_co2_entc_generation_pp_biogas|emission_co2e_co2_entc_generation_pp_biomass|emission_co2e_co2_entc_generation_pp_coal|emission_co2e_co2_entc_generation_pp_coal_ccs|emission_co2e_co2_entc_generation_pp_gas|emission_co2e_co2_entc_generation_pp_gas_ccs|emission_co2e_co2_entc_generation_pp_geothermal|emission_co2e_co2_entc_generation_pp_hydropower|emission_co2e_co2_entc_generation_pp_nuclear|emission_co2e_co2_entc_generation_pp_ocean|emission_co2e_co2_entc_generation_pp_oil|emission_co2e_co2_entc_generation_pp_solar|emission_co2e_co2_entc_generation_pp_waste_incineration|emission_co2e_co2_entc_generation_pp_wind|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production
1,Electricity Production,n2o,emission_co2e_n2o_entc_generation_pp_biogas|emission_co2e_n2o_entc_generation_pp_biomass|emission_co2e_n2o_entc_generation_pp_coal|emission_co2e_n2o_entc_generation_pp_coal_ccs|emission_co2e_n2o_entc_generation_pp_gas|emission_co2e_n2o_entc_generation_pp_gas_ccs|emission_co2e_n2o_entc_generation_pp_geothermal|emission_co2e_n2o_entc_generation_pp_hydropower|emission_co2e_n2o_entc_generation_pp_nuclear|emission_co2e_n2o_entc_generation_pp_ocean|emission_co2e_n2o_entc_generation_pp_oil|emission_co2e_n2o_entc_generation_pp_solar|emission_co2e_n2o_entc_generation_pp_waste_incineration|emission_co2e_n2o_entc_generation_pp_wind
1,Forestry - Harvested Wood Products,co2,emission_co2e_co2_frst_harvested_wood_products
1,Forestry - Sequestration,co2,emission_co2e_co2_frst_sequestration_mangroves|emission_co2e_co2_frst_sequestration_primary|emission_co2e_co2_frst_sequestration_secondary
1,Fugitive Emissions,ch4,emission_co2e_ch4_fgtv_fuel_coal|emission_co2e_ch4_fgtv_fuel_natural_gas|emission_co2e_ch4_fgtv_fuel_oil
