accounted,aggregation_category,gas,variable_field
1,Fugitive Emissions,co2,emission_co2e_co2_fgtv_fuel_natural_gas
1,IPPU,co2,emission_co2e_co2_ippu_production_cement|emission_co2e_co2_ippu_production_glass|emission_co2e_co2_ippu_production_lime_and_carbonite|emission_co2e_co2_ippu_production_metals
1,IPPU,fcs,emission_co2e_c2f6_ippu_product_use_product_use_ods_other|emission_co2e_c2f6_ippu_production_chemicals|emission_co2e_c2f6_ippu_production_electronics|emission_co2e_c2f6_ippu_production_metals|emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c2h3f3_ippu_production_chemicals|emission_co2e_c2hf5_ippu_product_use_product_use_ods_other|emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c2hf5_ippu_production_chemicals|emission_co2e_c3f8_ippu_production_chemicals|emission_co2e_c3f8_ippu_production_electronics|emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other|emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other|emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3hf7_ippu_product_use_product_use_ods_other|emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3hf7_ippu_production_chemicals|emission_co2e_c4f10_ippu_product_use_product_use_ods_other|emission_co2e_c4f10_ippu_production_chemicals|emission_co2e_c4f6_ippu_production_electronics|emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other|emission_co2e_c4h5f5_ippu_production_chemicals|emission_co2e_c5f12_ippu_production_chemicals|emission_co2e_c5f8_ippu_production_electronics|emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other|emission_co2e_c6f14_ippu_product_use_product_use_ods_other|emission_co2e_c6f14_ippu_production_chemicals|emission_co2e_cc4f8_ippu_production_chemicals|emission_co2e_cc4f8_ippu_production_electronics|emission_co2e_cf4_ippu_product_use_product_use_ods_other|emission_co2e_cf4_ippu_production_chemicals|emission_co2e_cf4_ippu_production_electronics|emission_co2e_cf4_ippu_production_metals|emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration|emission_co2e_ch2f2_ippu_production_chemicals|emission_co2e_ch2f2_ippu_production_electronics|emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other|emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other|emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other|emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other|emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration|emission_co2e_ch3chf2_ippu_production_chemicals|emission_co2e_ch3f_ippu_production_electronics|emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other|emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_chf2cf3_ippu_production_chemicals|emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other|emission_co2e_chf3_ippu_product_use_product_use_ods_other|emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_chf3_ippu_production_chemicals|emission_co2e_chf3_ippu_production_electronics|emission_co2e_nf3_ippu_production_chemicals|emission_co2e_nf3_ippu_production_electronics|emission_co2e_sf6_ippu_production_chemicals|emission_co2e_sf6_ippu_production_electronics|emission_co2e_sf6_ippu_production_metals|emission_co2e_sf6_ippu_production_other_product_manufacturing
1,IPPU,n2o,emission_co2e_n2o_ippu_production_chemicals
1,Industrial Energy,ch4,emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_ch4_inen_agriculture_and_livestock|emission_co2e_ch4_inen_cement|emission_co2e_ch4_inen_chemicals|emission_co2e_ch4_inen_electronics|emission_co2e_ch4_inen_glass|emission_co2e_ch4_inen_lime_and_carbonite|emission_co2e_ch4_inen_metals|emission_co2e_ch4_inen_mining|emission_co2e_ch4_inen_other_product_manufacturing|emission_co2e_ch4_inen_paper|emission_co2e_ch4_inen_plastic|emission_co2e_ch4_inen_recycled_glass|emission_co2e_ch4_inen_recycled_metals|emission_co2e_ch4_inen_recycled_paper|emission_co2e_ch4_inen_recycled_plastic|emission_co2e_ch4_inen_recycled_rubber_and_leather|emission_co2e_ch4_inen_recycled_textiles|emission_co2e_ch4_inen_recycled_wood|emission_co2e_ch4_inen_rubber_and_leather|emission_co2e_ch4_inen_textiles|emission_co2e_ch4_inen_wood
1,Industrial Energy,co2,emission_co2e_co2_entc_bmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_mining_and_extraction_me_coal|emission_co2e_co2_entc_mining_and_extraction_me_crude|emission_co2e_co2_entc_mining_and_extraction_me_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement|emission_co2e_co2_inen_bmass_agriculture_and_livestock|emission_co2e_co2_inen_bmass_cement|emission_co2e_co2_inen_bmass_chemicals|emission_co2e_co2_inen_bmass_electronics|emission_co2e_co2_inen_bmass_glass|emission_co2e_co2_inen_bmass_lime_and_carbonite|emission_co2e_co2_inen_bmass_metals|emission_co2e_co2_inen_bmass_mining|emission_co2e_co2_inen_bmass_other_product_manufacturing|emission_co2e_co2_inen_bmass_paper|emission_co2e_co2_inen_bmass_plastic|emission_co2e_co2_inen_bmass_recycled_glass|emission_co2e_co2_inen_bmass_recycled_metals|emission_co2e_co2_inen_bmass_recycled_paper|emission_co2e_co2_inen_bmass_recycled_plastic|emission_co2e_co2_inen_bmass_recycled_rubber_and_leather|emission_co2e_co2_inen_bmass_recycled_textiles|emission_co2e_co2_inen_bmass_recycled_wood|emission_co2e_co2_inen_bmass_rubber_and_leather|emission_co2e_co2_inen_bmass_textiles|emission_co2e_co2_inen_bmass_wood|emission_co2e_co2_inen_nbmass_agriculture_and_livestock|emission_co2e_co2_inen_nbmass_cement|emission_co2e_co2_inen_nbmass_chemicals|emission_co2e_co2_inen_nbmass_electronics|emission_co2e_co2_inen_nbmass_glass|emission_co2e_co2_inen_nbmass_lime_and_carbonite|emission_co2e_co2_inen_nbmass_metals|emission_co2e_co2_inen_nbmass_mining|emission_co2e_co2_inen_nbmass_other_product_manufacturing|emission_co2e_co2_inen_nbmass_paper|emission_co2e_co2_inen_nbmass_plastic|emission_co2e_co2_inen_nbmass_recycled_glass|emission_co2e_co2_inen_nbmass_recycled_metals|emission_co2e_co2_inen_nbmass_recycled_paper|emission_co2e_co2_inen_nbmass_recycled_plastic|emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather|emission_co2e_co2_inen_nbmass_recycled_textiles|emission_co2e_co2_inen_nbmass_recycled_wood|emission_co2e_co2_inen_nbmass_rubber_and_leather|emission_co2e_co2_inen_nbmass_textiles|emission_co2e_co2_inen_nbmass_wood
1,Industrial Energy,n2o,emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction|emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_n2o_inen_agriculture_and_livestock|emission_co2e_n2o_inen_cement|emission_co2e_n2o_inen_chemicals|emission_co2e_n2o_inen_electronics|emission_co2e_n2o_inen_glass|emission_co2e_n2o_inen_lime_and_carbonite|emission_co2e_n2o_inen_metals|emission_co2e_n2o_inen_mining|emission_co2e_n2o_inen_other_product_manufacturing|emission_co2e_n2o_inen_paper|emission_co2e_n2o_inen_plastic|emission_co2e_n2o_inen_recycled_glass|emission_co2e_n2o_inen_recycled_metals|emission_co2e_n2o_inen_recycled_paper|emission_co2e_n2o_inen_recycled_plastic|emission_co2e_n2o_inen_recycled_rubber_and_leather|emission_co2e_n2o_inen_recycled_textiles|emission_co2e_n2o_inen_recycled_wood|emission_co2e_n2o_inen_rubber_and_leather|emission_co2e_n2o_inen_textiles|emission_co2e_n2o_inen_wood
1,Livestock,ch4,emission_co2e_ch4_lvst_entferm_buffalo|emission_co2e_ch4_lvst_entferm_cattle_dairy|emission_co2e_ch4_lvst_entferm_cattle_nondairy|emission_co2e_ch4_lvst_entferm_chickens|emission_co2e_ch4_lvst_entferm_goats|emission_co2e_ch4_lvst_entferm_horses|emission_co2e_ch4_lvst_entferm_mules|emission_co2e_ch4_lvst_entferm_pigs|emission_co2e_ch4_lvst_entferm_sheep
1,Livestock Manure Management,ch4,emission_co2e_ch4_lsmm_anaerobic_digester|emission_co2e_ch4_lsmm_anaerobic_lagoon|emission_co2e_ch4_lsmm_composting|emission_co2e_ch4_lsmm_daily_spread|emission_co2e_ch4_lsmm_deep_bedding|emission_co2e_ch4_lsmm_dry_lot|emission_co2e_ch4_lsmm_incineration|emission_co2e_ch4_lsmm_liquid_slurry|emission_co2e_ch4_lsmm_paddock_pasture_range|emission_co2e_ch4_lsmm_poultry_manure|emission_co2e_ch4_lsmm_storage_solid
1,Livestock Manure Management,n2o,emission_co2e_n2o_lsmm_direct_anaerobic_digester|emission_co2e_n2o_lsmm_direct_anaerobic_lagoon|emission_co2e_n2o_lsmm_direct_composting|emission_co2e_n2o_lsmm_direct_daily_spread|emission_co2e_n2o_lsmm_direct_deep_bedding|emission_co2e_n2o_lsmm_direct_dry_lot|emission_co2e_n2o_lsmm_direct_incineration|emission_co2e_n2o_lsmm_direct_liquid_slurry|emission_co2e_n2o_lsmm_direct_paddock_pasture_range|emission_co2e_n2o_lsmm_direct_poultry_manure|emission_co2e_n2o_lsmm_direct_storage_solid|emission_co2e_n2o_lsmm_indirect_anaerobic_digester|emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon|emission_co2e_n2o_lsmm_indirect_composting|emission_co2e_n2o_lsmm_indirect_daily_spread|emission_co2e_n2o_lsmm_indirect_deep_bedding|emission_co2e_n2o_lsmm_indirect_dry_lot|emission_co2e_n2o_lsmm_indirect_incineration|emission_co2e_n2o_lsmm_indirect_liquid_slurry|emission_co2e_n2o_lsmm_indirect_paddock_pasture_range|emission_co2e_n2o_lsmm_indirect_poultry_manure|emission_co2e_n2o_lsmm_indirect_storage_solid
1,Other Land Use - Sequestration,co2,emission_co2e_co2_lndu_biomass_sequestration_settlements
1,Rice,ch4,emission_co2e_ch4_agrc_anaerobicdom_rice
1,Soil Management,co2,emission_co2e_co2_soil_lime_use|emission_co2e_co2_soil_urea_use
1,Soil Management,n2o,emission_co2e_n2o_soil_fertilizer|emission_co2e_n2o_soil_mineral_soils|emission_co2e_n2o_soil_organic_soils|emission_co2e_n2o_soil_paddock_pasture_range
1,Solid Waste,ch4,emission_co2e_ch4_waso_incineration|emission_co2e_ch4_waso_landfilled_chemical_industrial|emission_co2e_ch4_waso_landfilled_food|emission_co2e_ch4_waso_landfilled_glass|emission_co2e_ch4_waso_landfilled_metal|emission_co2e_ch4_waso_landfilled_nappies|emission_co2e_ch4_waso_landfilled_other|emission_co2e_ch4_waso_landfilled_paper|emission_co2e_ch4_waso_landfilled_plastic|emission_co2e_ch4_waso_landfilled_rubber_leather|emission_co2e_ch4_waso_landfilled_sludge|emission_co2e_ch4_waso_landfilled_textiles|emission_co2e_ch4_waso_landfilled_wood|emission_co2e_ch4_waso_landfilled_yard
1,Solid Waste,co2,emission_co2e_co2_waso_incineration
1,Solid Waste,n2o,emission_co2e_n2o_waso_incineration
1,Stationary Combustion and Other Energy,ch4,emission_co2e_ch4_scoe_commercial_municipal|emission_co2e_ch4_scoe_other_se|emission_co2e_ch4_scoe_residential
1,Stationary Combustion and Other Energy,co2,emission_co2e_co2_scoe_bmass_commercial_municipal|emission_co2e_co2_scoe_bmass_other_se|emission_co2e_co2_scoe_bmass_residential|emission_co2e_co2_scoe_nbmass_commercial_municipal|emission_co2e_co2_scoe_nbmass_other_se|emission_co2e_co2_scoe_nbmass_residential
1,Stationary Combustion and Other Energy,n2o,emission_co2e_n2o_scoe_commercial_municipal|emission_co2e_n2o_scoe_other_se|emission_co2e_n2o_scoe_residential
1,Transportation,ch4,emission_co2e_ch4_trns_aviation|emission_co2e_ch4_trns_powered_bikes|emission_co2e_ch4_trns_public|emission_co2e_ch4_trns_rail_freight|emission_co2e_ch4_trns_rail_passenger|emission_co2e_ch4_trns_road_heavy_freight|emission_co2e_ch4_trns_road_heavy_regional|emission_co2e_ch4_trns_road_light|emission_co2e_ch4_trns_water_borne
1,Transportation,co2,emission_co2e_co2_trns_aviation|emission_co2e_co2_trns_human_powered|emission_co2e_co2_trns_powered_bikes|emission_co2e_co2_trns_public|emission_co2e_co2_trns_rail_freight|emission_co2e_co2_trns_rail_passenger|emission_co2e_co2_trns_road_heavy_freight|emission_co2e_co2_trns_road_heavy_regional|emission_co2e_co2_trns_road_light|emission_co2e_co2_trns_water_borne
1,Transportation,n2o,emission_co2e_n2o_trns_aviation|emission_co2e_n2o_trns_powered_bikes|emission_co2e_n2o_trns_public|emission_co2e_n2o_trns_rail_freight|emission_co2e_n2o_trns_rail_passenger|emission_co2e_n2o_trns_road_heavy_freight|emission_co2e_n2o_trns_road_heavy_regional|emission_co2e_n2o_trns_road_light|emission_co2e_n2o_trns_water_borne
1,Wastewater Treatment,ch4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment|emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment|emission_co2e_ch4_trww_treated_latrine_improved_treatment|emission_co2e_ch4_trww_treated_latrine_unimproved_treatment|emission_co2e_ch4_trww_treated_primary_treatment|emission_co2e_ch4_trww_treated_secondary_aerobic_treatment|emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment|emission_co2e_ch4_trww_treated_septic_treatment|emission_co2e_ch4_trww_untreated_no_sewerage_treatment|emission_co2e_ch4_trww_untreated_with_sewerage_treatment
1,Wastewater Treatment,n2o,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent|emission_co2e_n2o_trww_treated_advanced_aerobic_treatment|emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent|emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment|emission_co2e_n2o_trww_treated_latrine_improved_effluent|emission_co2e_n2o_trww_treated_latrine_improved_treatment|emission_co2e_n2o_trww_treated_latrine_unimproved_effluent|emission_co2e_n2o_trww_treated_latrine_unimproved_treatment|emission_co2e_n2o_trww_treated_primary_effluent|emission_co2e_n2o_trww_treated_primary_treatment|emission_co2e_n2o_trww_treated_secondary_aerobic_effluent|emission_co2e_n2o_trww_treated_secondary_aerobic_treatment|emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent|emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment|emission_co2e_n2o_trww_treated_septic_effluent|emission_co2e_n2o_trww_treated_septic_treatment|emission_co2e_n2o_trww_untreated_no_sewerage_effluent|emission_co2e_n2o_trww_untreated_no_sewerage_treatment|emission_co2e_n2o_trww_untreated_with_sewerage_effluent|emission_co2e_n2o_trww_untreated_with_sewerage_treatment
