subsector_long,aggregation_category,Subsector,gas,gas_breakdown,variable_field,variables,accounted,sit_units,sit_gas_measure,sit_sheet,sit_sections,sit_subsections,sit_categories,sit_rows,notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fugitive Emissions,Fugitive Emissions,fgtv,co2,,emission_co2e_co2_fgtv_fuel_coal,:math:\text{CO}_2 Fugitive Emissions,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fugitive Emissions,Fugitive Emissions,fgtv,co2,,emission_co2e_co2_fgtv_fuel_oil,:math:\text{CO}_2 Fugitive Emissions,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fugitive Emissions,Fugitive Emissions,fgtv,n2o,,emission_co2e_n2o_fgtv_fuel_coal,:math:\text{N}_2\text{O} Fugitive Emissions,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fugitive Emissions,Fugitive Emissions,fgtv,n2o,,emission_co2e_n2o_fgtv_fuel_natural_gas,:math:\text{N}_2\text{O} Fugitive Emissions,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fugitive Emissions,Fugitive Emissions,fgtv,n2o,,emission_co2e_n2o_fgtv_fuel_oil,:math:\text{N}_2\text{O} Fugitive Emissions,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,fcs,c2f6|c2h3f3|c2hf5|c3f8|c3h2f6|c3h3f5|c3hf7|c4f10|c4f6|c4h5f5|c5f12|c5f8|c5h2f10|c6f14|cc4f8|cf4|ch2f2|ch2fchf2|ch3cci2f|ch3ccif2|ch3chf2|ch3f|chf2cf3|chf2chf2|chf3|nf3|sf6|sf6,emission_co2e_c2f6_ippu_product_use_product_use_ods_other|emission_co2e_c2f6_ippu_production_chemicals|emission_co2e_c2f6_ippu_production_electronics|emission_co2e_c2f6_ippu_production_metals|emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c2h3f3_ippu_production_chemicals|emission_co2e_c2hf5_ippu_product_use_product_use_ods_other|emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c2hf5_ippu_production_chemicals|emission_co2e_c3f8_ippu_production_chemicals|emission_co2e_c3f8_ippu_production_electronics|emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other|emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other|emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3hf7_ippu_product_use_product_use_ods_other|emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration|emission_co2e_c3hf7_ippu_production_chemicals|emission_co2e_c4f10_ippu_product_use_product_use_ods_other|emission_co2e_c4f10_ippu_production_chemicals|emission_co2e_c4f6_ippu_production_electronics|emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other|emission_co2e_c4h5f5_ippu_production_chemicals|emission_co2e_c5f12_ippu_production_chemicals|emission_co2e_c5f8_ippu_production_electronics|emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other|emission_co2e_c6f14_ippu_product_use_product_use_ods_other|emission_co2e_c6f14_ippu_production_chemicals|emission_co2e_cc4f8_ippu_production_chemicals|emission_co2e_cc4f8_ippu_production_electronics|emission_co2e_cf4_ippu_product_use_product_use_ods_other|emission_co2e_cf4_ippu_production_chemicals|emission_co2e_cf4_ippu_production_electronics|emission_co2e_cf4_ippu_production_metals|emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration|emission_co2e_ch2f2_ippu_production_chemicals|emission_co2e_ch2f2_ippu_production_electronics|emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other|emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other|emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other|emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other|emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration|emission_co2e_ch3chf2_ippu_production_chemicals|emission_co2e_ch3f_ippu_production_electronics|emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other|emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_chf2cf3_ippu_production_chemicals|emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other|emission_co2e_chf3_ippu_product_use_product_use_ods_other|emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration|emission_co2e_chf3_ippu_production_chemicals|emission_co2e_chf3_ippu_production_electronics|emission_co2e_nf3_ippu_production_chemicals|emission_co2e_nf3_ippu_production_electronics|emission_co2e_sf6_ippu_production_chemicals|emission_co2e_sf6_ippu_production_electronics|emission_co2e_sf6_ippu_production_metals|emission_co2e_sf6_ippu_production_other_product_manufacturing,:math:\text{NF}_3 Emissions from Industrial Production Processes|:math:\text{SF}_6 Emissions from Industrial Production Processes|Dodecafluoropentane Emissions from Industrial Production Processes|HCFC-141b Emissions from Industrial Product Use|HCFC-142b Emissions from Industrial Product Use|HFC-125 Emissions from Industrial Product Use|HFC-125 Emissions from Industrial Production Processes|HFC-134 Emissions from Industrial Product Use|HFC-134a Emissions from Industrial Product Use|HFC-134a Emissions from Industrial Production Processes|HFC-143 Emissions from Industrial Product Use|HFC-143a Emissions from Industrial Product Use|HFC-143a Emissions from Industrial Production Processes|HFC-152a Emissions from Industrial Product Use|HFC-152a Emissions from Industrial Production Processes|HFC-227ea Emissions from Industrial Product Use|HFC-227ea Emissions from Industrial Production Processes|HFC-23 Emissions from Industrial Product Use|HFC-23 Emissions from Industrial Production Processes|HFC-236fa Emissions from Industrial Product Use|HFC-245fa Emissions from Industrial Product Use|HFC-32 Emissions from Industrial Product Use|HFC-32 Emissions from Industrial Production Processes|HFC-365mfc Emissions from Industrial Product Use|HFC-365mfc Emissions from Industrial Production Processes|HFC-41 Emissions from Industrial Production Processes|HFC-43-10mee Emissions from Industrial Product Use|PFC-1114 Emissions from Industrial Production Processes|PFC-116 Emissions from Industrial Product Use|PFC-116 Emissions from Industrial Production Processes|PFC-14 Emissions from Industrial Product Use|PFC-14 Emissions from Industrial Production Processes|PFC-1418 Emissions from Industrial Production Processes|PFC-218 Emissions from Industrial Production Processes|PFC-31-10 Emissions from Industrial Product Use|PFC-31-10 Emissions from Industrial Production Processes|PFC-318 Emissions from Industrial Production Processes|PFC-51-14 Emissions from Industrial Product Use|PFC-51-14 Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),"HFC, PFC, SF6 and NF3 Emissions","ODS Substitutes|Semiconductor Manufacturing|Magnesium Production|Electric Power Transmission and Distribution Systems|HCFC-22 Production|Aluminum Production, PFCs",19|20|21|22|23|24,,0.58433555,0.562362191,0.588114736,0.658031631,0.801976233,1.101888819,1.296293121,1.475690942,1.55819099,1.716561143,1.830768466,1.91952418,1.99324194,2.062106889,2.131247788,2.1838955,2.154940598,2.268955389,2.393059374,2.835052233,2.946955892,3.224869318,2.703598458,2.695325446,2.767432447,2.865173631,2.906765493,2.991855951,3.00516267,2.913279072,3.334606896,3.442740778
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_cement,:math:\text{CO}_2 Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,Cement Manufacture,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_glass,:math:\text{CO}_2 Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,Soda Ash,8,,0.045814913,0.043809855,0.043463384,0.043363465,0.042916794,0.044324552,0.043338716,0.043640695,0.043788287,0.042647279,0.042047238,0.041591734,0.041708584,0.04054388,0.040370142,0.039809162,0.036534378,0.035813224,0.034485579,0.030484766,0.03218092,0.031347244,0.030819109,0.031063382,0.031271832,0.030084145,0.030776564,0.029291485,0.028760366,0.02777343,0.025853028,0.026851186
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_lime_and_carbonite,:math:\text{CO}_2 Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,Lime Manufacture,6,,0.059063736,0,0,0.084888619,0.076384299,0.086407971,0.078683652,0.086428289,0.08704668,0.084155784,0.077987943,0,0,0,0,0,0,0,0,0.119298231,0.138598407,0.113705067,0.115733142,0.121561265,0.126842963,0.120514633,0.125630252,0.121378572,0.12400924,0.13305787,0.125252063,0.133702372
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_metals,:math:\text{CO}_2 Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,"Aluminum Production, CO2|Iron & Steel Production",9|10,,0,0,0,0,0,0,0,1.088979071,1.102899322,1.031252931,1.146848212,1.218092648,1.229027302,1.326528055,1.23544895,1.034106643,1.020908511,1.051505307,0.923684006,0.555636453,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817,0.816880817
IPPU,IPPU,ippu,n2o,,emission_co2e_n2o_ippu_production_chemicals,:math:\text{N}_2\text{O} Emissions from Industrial Production Processes,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,Nitric Acid Production|Adipic Acid Production,15|16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,ch4,,emission_co2e_ch4_ippu_production_chemicals,:math:\text{CH}_4 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,ch4,,emission_co2e_ch4_ippu_production_metals,:math:\text{CH}_4 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,ch4,,emission_co2e_ch4_ippu_production_paper,:math:\text{CH}_4 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,ch4,,emission_co2e_ch4_ippu_production_plastic,:math:\text{CH}_4 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_product_use_product_use_lubricants,:math:\text{CO}_2 Emissions from Industrial Product Use,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_product_use_product_use_other,:math:\text{CO}_2 Emissions from Industrial Product Use,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_product_use_product_use_paraffin_wax,:math:\text{CO}_2 Emissions from Industrial Product Use,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_chemicals,:math:\text{CO}_2 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_paper,:math:\text{CO}_2 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_plastic,:math:\text{CO}_2 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_product_use_lubricants,:math:\text{CO}_2 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,co2,,emission_co2e_co2_ippu_production_product_use_paraffin_wax,:math:\text{CO}_2 Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,n2o,,emission_co2e_n2o_ippu_production_other_product_manufacturing,:math:\text{N}_2\text{O} Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,n2o,,emission_co2e_n2o_ippu_production_paper,:math:\text{N}_2\text{O} Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPU,IPPU,ippu,n2o,,emission_co2e_n2o_ippu_production_plastic,:math:\text{N}_2\text{O} Emissions from Industrial Production Processes,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Use,Other Land Use - Sequestration,lndu,co2,,emission_co2e_co2_lndu_biomass_sequestration_settlements,:math:\text{CO}_2 Emissions from Land Use Biomass Sequestration,1,MMT,co2e,Forest Management,Emissions (MMTCO2E),Urban Trees,,40,,-1.372182728,-1.397182769,-1.422182811,-1.447182852,-1.472182894,-1.497182935,-1.522182977,-1.547183018,-1.572183059,-1.597183101,-1.622183142,-1.651598666,-1.68101419,-1.710429714,-1.739845238,-1.769260762,-1.798676286,-1.82809181,-1.857507334,-1.886922858,-1.916338382,-1.945753906,-1.97516943,-2.004584954,-2.034000478,-2.063416002,-2.092831526,-2.12224705,-2.151662574,-2.181078098,-1.899995955,-2.127000904
Land Use,Deforestation,lndu,co2,,emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded|emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_other|emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures|emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements|emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands|emission_co2e_co2_lndu_conversion_forests_primary_to_croplands|emission_co2e_co2_lndu_conversion_forests_primary_to_flooded|emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_primary_to_other|emission_co2e_co2_lndu_conversion_forests_primary_to_pastures|emission_co2e_co2_lndu_conversion_forests_primary_to_settlements|emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands|emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands|emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded|emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_secondary_to_other|emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures|emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements|emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands,:math:\text{CO}_2 Emissions from Land Use Conversion,1,MMT,co2e,Forest Management,Emissions (MMTCO2E),Forest Land Converted to Land,Aboveground Biomass|Belowground Biomass|Deadwood|Litter,35|36|37|38,,1.75,1.76,1.76,1.77,1.78,1.79,1.8,1.82,1.82,1.83,1.84,1.88,1.88,1.89,1.9,1.93,1.94,1.96,1.97,1.97,1.98,2,2.01,2.03,2.04,2.05,2.05,2.05,2.05,2.05,2.05,2.05
Land Use,Wetlands,lndu,ch4,,emission_co2e_ch4_lndu_wetlands,:math:\text{CH}_4 Emissions from Wetlands,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Use,Other Land Use - Sequestration,lndu,co2,,emission_co2e_co2_lndu_biomass_sequestration_grasslands|emission_co2e_co2_lndu_biomass_sequestration_other|emission_co2e_co2_lndu_biomass_sequestration_pastures|emission_co2e_co2_lndu_biomass_sequestration_shrublands|emission_co2e_co2_lndu_biomass_sequestration_wetlands,:math:\text{CO}_2 Emissions from Land Use Biomass Sequestration,0,,,,,,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Use,Other Land Use - Conversion,lndu,co2,,emission_co2e_co2_lndu_conversion_croplands_to_croplands|emission_co2e_co2_lndu_conversion_croplands_to_flooded|emission_co2e_co2_lndu_conversion_croplands_to_grasslands|emission_co2e_co2_lndu_conversion_croplands_to_other|emission_co2e_co2_lndu_conversion_croplands_to_pastures|emission_co2e_co2_lndu_conversion_croplands_to_settlements|emission_co2e_co2_lndu_conversion_croplands_to_shrublands|emission_co2e_co2_lndu_conversion_croplands_to_wetlands|emission_co2e_co2_lndu_conversion_flooded_to_croplands|emission_co2e_co2_lndu_conversion_flooded_to_flooded|emission_co2e_co2_lndu_conversion_flooded_to_grasslands|emission_co2e_co2_lndu_conversion_flooded_to_other|emission_co2e_co2_lndu_conversion_flooded_to_pastures|emission_co2e_co2_lndu_conversion_flooded_to_settlements|emission_co2e_co2_lndu_conversion_flooded_to_shrublands|emission_co2e_co2_lndu_conversion_flooded_to_wetlands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_mangroves|emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_primary|emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_secondary|emission_co2e_co2_lndu_conversion_forests_primary_to_forests_mangroves|emission_co2e_co2_lndu_conversion_forests_primary_to_forests_primary|emission_co2e_co2_lndu_conversion_forests_primary_to_forests_secondary|emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_mangroves|emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_primary|emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_secondary|emission_co2e_co2_lndu_conversion_grasslands_to_croplands|emission_co2e_co2_lndu_conversion_grasslands_to_flooded|emission_co2e_co2_lndu_conversion_grasslands_to_grasslands|emission_co2e_co2_lndu_conversion_grasslands_to_other|emission_co2e_co2_lndu_conversion_grasslands_to_pastures|emission_co2e_co2_lndu_conversion_grasslands_to_settlements|emission_co2e_co2_lndu_conversion_grasslands_to_shrublands|emission_co2e_co2_lndu_conversion_grasslands_to_wetlands|emission_co2e_co2_lndu_conversion_other_to_croplands|emission_co2e_co2_lndu_conversion_other_to_flooded|emission_co2e_co2_lndu_conversion_other_to_grasslands|emission_co2e_co2_lndu_conversion_other_to_other|emission_co2e_co2_lndu_conversion_other_to_pastures|emission_co2e_co2_lndu_conversion_other_to_settlements|emission_co2e_co2_lndu_conversion_other_to_shrublands|emission_co2e_co2_lndu_conversion_other_to_wetlands|emission_co2e_co2_lndu_conversion_pastures_to_croplands|emission_co2e_co2_lndu_conversion_pastures_to_flooded|emission_co2e_co2_lndu_conversion_pastures_to_grasslands|emission_co2e_co2_lndu_conversion_pastures_to_other|emission_co2e_co2_lndu_conversion_pastures_to_pastures|emission_co2e_co2_lndu_conversion_pastures_to_settlements|emission_co2e_co2_lndu_conversion_pastures_to_shrublands|emission_co2e_co2_lndu_conversion_pastures_to_wetlands|emission_co2e_co2_lndu_conversion_settlements_to_croplands|emission_co2e_co2_lndu_conversion_settlements_to_flooded|emission_co2e_co2_lndu_conversion_settlements_to_grasslands|emission_co2e_co2_lndu_conversion_settlements_to_other|emission_co2e_co2_lndu_conversion_settlements_to_pastures|emission_co2e_co2_lndu_conversion_settlements_to_settlements|emission_co2e_co2_lndu_conversion_settlements_to_shrublands|emission_co2e_co2_lndu_conversion_settlements_to_wetlands|emission_co2e_co2_lndu_conversion_shrublands_to_croplands|emission_co2e_co2_lndu_conversion_shrublands_to_flooded|emission_co2e_co2_lndu_conversion_shrublands_to_grasslands|emission_co2e_co2_lndu_conversion_shrublands_to_other|emission_co2e_co2_lndu_conversion_shrublands_to_pastures|emission_co2e_co2_lndu_conversion_shrublands_to_settlements|emission_co2e_co2_lndu_conversion_shrublands_to_shrublands|emission_co2e_co2_lndu_conversion_shrublands_to_wetlands|emission_co2e_co2_lndu_conversion_wetlands_to_croplands|emission_co2e_co2_lndu_conversion_wetlands_to_flooded|emission_co2e_co2_lndu_conversion_wetlands_to_grasslands|emission_co2e_co2_lndu_conversion_wetlands_to_other|emission_co2e_co2_lndu_conversion_wetlands_to_pastures|emission_co2e_co2_lndu_conversion_wetlands_to_settlements|emission_co2e_co2_lndu_conversion_wetlands_to_shrublands|emission_co2e_co2_lndu_conversion_wetlands_to_wetlands,:math:\text{CO}_2 Emissions from Land Use Conversion,0,,,,,,,-1,Conversions between other non-forest land use types are not considered. It doesn't appear as though (https://www.epa.gov/system/files/documents/2025-01/land-use-change-and-forestry-users-guide.pdf) shrublands are considered a biomass sink.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Use,Other Land Use - Conversion,lndu,co2,,emission_co2e_co2_lndu_conversion_croplands_to_forests_mangroves|emission_co2e_co2_lndu_conversion_croplands_to_forests_primary|emission_co2e_co2_lndu_conversion_croplands_to_forests_secondary|emission_co2e_co2_lndu_conversion_flooded_to_forests_mangroves|emission_co2e_co2_lndu_conversion_flooded_to_forests_primary|emission_co2e_co2_lndu_conversion_flooded_to_forests_secondary|emission_co2e_co2_lndu_conversion_grasslands_to_forests_mangroves|emission_co2e_co2_lndu_conversion_grasslands_to_forests_primary|emission_co2e_co2_lndu_conversion_grasslands_to_forests_secondary|emission_co2e_co2_lndu_conversion_other_to_forests_mangroves|emission_co2e_co2_lndu_conversion_other_to_forests_primary|emission_co2e_co2_lndu_conversion_other_to_forests_secondary|emission_co2e_co2_lndu_conversion_pastures_to_forests_mangroves|emission_co2e_co2_lndu_conversion_pastures_to_forests_primary|emission_co2e_co2_lndu_conversion_pastures_to_forests_secondary|emission_co2e_co2_lndu_conversion_settlements_to_forests_mangroves|emission_co2e_co2_lndu_conversion_settlements_to_forests_primary|emission_co2e_co2_lndu_conversion_settlements_to_forests_secondary|emission_co2e_co2_lndu_conversion_shrublands_to_forests_mangroves|emission_co2e_co2_lndu_conversion_shrublands_to_forests_primary|emission_co2e_co2_lndu_conversion_shrublands_to_forests_secondary|emission_co2e_co2_lndu_conversion_wetlands_to_forests_mangroves|emission_co2e_co2_lndu_conversion_wetlands_to_forests_primary|emission_co2e_co2_lndu_conversion_wetlands_to_forests_secondary,:math:\text{CO}_2 Emissions from Land Use Conversion,0,,,,,,,-1,"NOTE: there are equivalent rows in the Forest Management, but we do not account for conversions TO forest land immediately; those areas are accounted for in the next time step as part of ""forest land remaining forest land"", so they're not comparable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livestock,Livestock,lvst,ch4,,emission_co2e_ch4_lvst_entferm_buffalo|emission_co2e_ch4_lvst_entferm_cattle_dairy|emission_co2e_ch4_lvst_entferm_cattle_nondairy|emission_co2e_ch4_lvst_entferm_chickens|emission_co2e_ch4_lvst_entferm_goats|emission_co2e_ch4_lvst_entferm_horses|emission_co2e_ch4_lvst_entferm_mules|emission_co2e_ch4_lvst_entferm_pigs|emission_co2e_ch4_lvst_entferm_sheep,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,1,MMT,ch4,Agriculture,Emissions by Gas (MMTCH4 or MMTN2O),Methane,Enteric Fermentation,33,,2.009723609,1.927898463,1.837149891,1.917674877,1.854711975,1.900456754,1.904495355,1.887149581,1.856627993,1.816378041,1.799500103,1.721018322,1.707884028,1.736745462,1.759775074,1.758100954,1.690665275,1.740730012,1.806172561,1.792015842,1.716357622,1.613389645,1.589824101,1.576135525,1.578885755,1.601458198,1.547581329,1.56479229,1.636402137,1.498091596,1.495980603,1.539811251
Livestock Manure Management,Livestock Manure Management,lsmm,ch4,,emission_co2e_ch4_lsmm_anaerobic_digester|emission_co2e_ch4_lsmm_anaerobic_lagoon|emission_co2e_ch4_lsmm_composting|emission_co2e_ch4_lsmm_daily_spread|emission_co2e_ch4_lsmm_deep_bedding|emission_co2e_ch4_lsmm_dry_lot|emission_co2e_ch4_lsmm_incineration|emission_co2e_ch4_lsmm_liquid_slurry|emission_co2e_ch4_lsmm_paddock_pasture_range|emission_co2e_ch4_lsmm_poultry_manure|emission_co2e_ch4_lsmm_storage_solid,,1,MMT,ch4,Agriculture,Emissions by Gas (MMTCH4 or MMTN2O),Methane,Manure Management,34,,0.226594201,0.209485848,0.21014247,0.221456863,0.212875988,0.218783151,0.208779242,0.196793048,0.208318906,0.201749902,0.205171064,0.205727915,0.190298755,0.183650956,0.188892199,0.182514217,0.177493212,0.18302611,0.170455896,0.175511829,0.170714651,0.163961777,0.161603131,0.158997894,0.159714051,0.163956626,0.156215709,0.150944155,0.156072565,0.165949859,0.157256439,0.151107178
