subsector_long,aggregation_category,Subsector,gas,gas_breakdown,variable_field,variables,accounted,sit_units,sit_gas_measure,sit_sheet,sit_sections,sit_subsections,sit_categories,sit_rows,notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Energy Technology,Electricity Production,entc,co2,,emission_co2e_co2_entc_generation_pp_biogas|emission_co2e_co2_entc_generation_pp_biomass|emission_co2e_co2_entc_generation_pp_geothermal|emission_co2e_co2_entc_generation_pp_hydropower|emission_co2e_co2_entc_generation_pp_nuclear|emission_co2e_co2_entc_generation_pp_ocean|emission_co2e_co2_entc_generation_pp_solar|emission_co2e_co2_entc_generation_pp_waste_incineration|emission_co2e_co2_entc_generation_pp_wind,NemoMod :math:\text{CO}_2 Emissions from Electricity Generation,1,MMT,co2e,CO2FFC,Emissions (MMTCO2 Eq.),Electric Utilities,Other,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Technology,Electricity Production,entc,co2,,emission_co2e_co2_entc_generation_pp_coal|emission_co2e_co2_entc_generation_pp_coal_ccs,NemoMod :math:\text{CO}_2 Emissions from Electricity Generation,1,MMT,co2e,CO2FFC,Emissions (MMTCO2 Eq.),Electric Utilities,Coal,25,,18.3497501,19.42341891,20.24219489,20.18005723,20.82533587,19.86951012,19.32553497,21.32276984,21.3266366,21.59069562,23.9998866,22.68179184,22.04141935,23.41407442,24.36001742,24.09079904,25.14497871,23.68374553,24.89593821,24.08192308,24.76009965,25.66469414,22.60349952,21.56614205,19.77260367,16.29956026,13.04030755,13.24860717,12.80576558,8.366959739,4.346799441,8.767140267
Energy Technology,Electricity Production,entc,co2,,emission_co2e_co2_entc_generation_pp_gas|emission_co2e_co2_entc_generation_pp_gas_ccs,NemoMod :math:\text{CO}_2 Emissions from Electricity Generation,1,MMT,co2e,CO2FFC,Emissions (MMTCO2 Eq.),Electric Utilities,Natural Gas,27,,15.83016576,14.96560093,14.38478662,13.52471401,15.4586845,17.95337157,14.04252136,15.32601526,17.67517641,17.75255281,16.72925138,13.40959821,17.64928328,12.94087204,13.39332118,15.5607544,10.7773084,12.28993921,12.94323171,12.16023563,14.69290349,15.90785657,17.43306563,14.49526546,14.46064915,18.6487644,18.0287722,15.19308688,16.35036607,18.62711617,19.33426402,17.23347623
Energy Technology,Electricity Production,entc,co2,,emission_co2e_co2_entc_generation_pp_oil,NemoMod :math:\text{CO}_2 Emissions from Electricity Generation,1,MMT,co2e,CO2FFC,Emissions (MMTCO2 Eq.),Electric Utilities,Petroleum,26,,0.180897792,0.038795899,1.189391058,3.801425805,2.526975506,1.90231312,2.047867453,2.513536973,2.492944976,2.110216835,2.187328092,3.433718402,2.035646889,2.946416104,3.446016633,3.430458279,2.135855631,2.363324034,2.239350759,1.715346417,3.258299494,4.90290839,3.167070384,4.961916222,5.240864418,4.407067391,5.185724719,5.026325911,4.763053264,3.673152504,3.86659086,4.402786307
Energy Technology,Electricity Production,entc,co2,,emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production,NemoMod :math:\text{CO}_2 Emissions from Fuel Processing and Refinement,1,MT,co2e,IP,Emissions (MTCO2 Eq.),Carbon Dioxide Emissions,Ammonia Production,11,,6.11848372,6.199141438,6.479280712,5.966936813,6.427645827,6.055010678,6.163277147,5.875872108,5.99508761,5.481765264,4.764037462,3.654103232,3.996107178,3.255297306,3.591722781,3.244324129,3.193927905,3.434106256,3.249900861,3.180329354,3.419343305,3.988084504,3.087175938,3.167049875,3.200563939,3.282395701,4.348256304,4.640168953,5.014769894,5.165855411,5.476635455,4.962120245
Energy Technology,Electricity Production,entc,ch4,,emission_co2e_ch4_entc_generation_pp_biogas|emission_co2e_ch4_entc_generation_pp_biomass|emission_co2e_ch4_entc_generation_pp_coal|emission_co2e_ch4_entc_generation_pp_coal_ccs|emission_co2e_ch4_entc_generation_pp_gas|emission_co2e_ch4_entc_generation_pp_gas_ccs|emission_co2e_ch4_entc_generation_pp_geothermal|emission_co2e_ch4_entc_generation_pp_hydropower|emission_co2e_ch4_entc_generation_pp_nuclear|emission_co2e_ch4_entc_generation_pp_ocean|emission_co2e_ch4_entc_generation_pp_oil|emission_co2e_ch4_entc_generation_pp_solar|emission_co2e_ch4_entc_generation_pp_waste_incineration|emission_co2e_ch4_entc_generation_pp_wind,NemoMod :math:\text{CH}_4 Emissions from Electricity Generation,1,MMT,co2e,Stationary,Emissions (MMTCO2 Eq.),Electric Utilities,CH4,15,,0.013526087,0.013266356,0.014162852,0.015973338,0.016045411,0.016438266,0.014494261,0.0161982,0.017356602,0.017084701,0.017388613,0.016642662,0.017007399,0.016034756,0.017132251,0.018136363,0.014605147,0.015134805,0.01571446,0.014591564,0.017337188,0.019550821,0.017982,0.017696659,0.017395193,0.017802954,0.017167455,0.015668179,0.015902423,0.014853976,0.014183354,0.014862404
Energy Technology,Electricity Production,entc,n2o,,emission_co2e_n2o_entc_generation_pp_biogas|emission_co2e_n2o_entc_generation_pp_biomass|emission_co2e_n2o_entc_generation_pp_coal|emission_co2e_n2o_entc_generation_pp_coal_ccs|emission_co2e_n2o_entc_generation_pp_gas|emission_co2e_n2o_entc_generation_pp_gas_ccs|emission_co2e_n2o_entc_generation_pp_geothermal|emission_co2e_n2o_entc_generation_pp_hydropower|emission_co2e_n2o_entc_generation_pp_nuclear|emission_co2e_n2o_entc_generation_pp_ocean|emission_co2e_n2o_entc_generation_pp_oil|emission_co2e_n2o_entc_generation_pp_solar|emission_co2e_n2o_entc_generation_pp_waste_incineration|emission_co2e_n2o_entc_generation_pp_wind,NemoMod :math:\text{N}_2\text{O} Emissions from Electricity Generation,1,MMT,co2e,Stationary,Emissions (MMTCO2 Eq.),Electric Utilities,N2O,14,,0.084145185,0.087894707,0.092800199,0.096713626,0.098227934,0.094153448,0.090447802,0.100297256,0.101254014,0.101574503,0.111317363,0.106773986,0.102881984,0.108214049,0.113446961,0.113317392,0.113004862,0.107953527,0.113086317,0.10841283,0.114768052,0.121607127,0.106799807,0.104000914,0.096991844,0.083072476,0.070439679,0.069733099,0.06800372,0.048905784,0.03277684,0.050993979
Fugitive Emissions,Fugitive Emissions,fgtv,ch4,,emission_co2e_ch4_fgtv_fuel_coal,:math:\text{CH}_4 Fugitive Emissions|NemoMod :math:\text{CH}_4 Emissions from Fuel Mining and Extraction,1,MT,ch4,Coal,Emissions (MTCO2E),Coal Mining,,23,,0.034563417,0.034183718,0.035149237,0.033999293,0.037568459,0.040345683,0.034943115,0.038458039,0.034888872,0.032035709,0.040009379,0.040303764,0.041251633,0.043699072,0.041283951,0.045140321,0.044631026,0.033918862,0.041693537,0.039677587,0.042792482,0.041926314,0.043080912,0.030481885,0.028259206,0.037305144,0.030350455,0.022549396,0.069931639,0.019363994,0.007344455,0.003254559
Fugitive Emissions,Fugitive Emissions,fgtv,ch4,,emission_co2e_ch4_fgtv_fuel_oil,:math:\text{CH}_4 Fugitive Emissions|NemoMod :math:\text{CH}_4 Emissions from Fuel Mining and Extraction|NemoMod :math:\text{CH}_4 Emissions from Fuel Processing and Refinement,1,MT,ch4,Gas and Oil,Emissions (MMTCO2 Eq.),Oil,,23,,2.533403002,2.517306976,2.478063556,2.511531935,2.353382723,2.514125096,2.826215382,2.895689897,2.92819835,2.711476669,2.431261097,2.431236586,2.203272571,2.186151186,2.115224998,1.915089735,2.014297209,2.105271086,2.060630075,1.809731758,1.748450551,1.782355535,1.564072795,1.710203004,1.499655554,1.32000971,0.940528287,1.112906454,0.904360355,0.817894378,0.667007801,0.633095672
Fugitive Emissions,Fugitive Emissions,fgtv,ch4,,emission_co2e_ch4_fgtv_fuel_natural_gas,:math:\text{CH}_4 Fugitive Emissions|NemoMod :math:\text{CH}_4 Emissions from Fuel Mining and Extraction|NemoMod :math:\text{CH}_4 Emissions from Fuel Processing and Refinement,1,MT,ch4,Gas and Oil,Emissions by Gas (MTCH4),Natural Gas,,19,,5.05521548,4.58801924,4.19196288,4.91295364,4.16159128,4.62986244,5.0834462,4.97144088,6.11509164,5.55606212,5.222448,5.434086,5.683356,5.62984604,6.89115224,6.26099768,5.80267324,6.0306722,6.38563268,6.2683096,14.65527532,14.73393557,14.49853514,14.25098272,14.14210706,14.04827942,13.68849135,13.44561019,12.97616399,12.81234703,12.4253328,12.45775365
