Subsector,Edgar_Subsector,Edgar_Class,CSC Sector,CSC Subsector,Gas,Units
agrc,AG - Crops,AG - Crops:CH4,Agriculture,AG - Crops,CH4,MtCO2e
agrc,AG - Crops,AG - Crops:CO2,Agriculture,AG - Crops,CO2,MtCO2e
agrc,AG - Crops,AG - Crops:N2O,Agriculture,AG - Crops,N2O,MtCO2e
lsmm,AG - Livestock,AG - Livestock:CH4,Agriculture,AG - Livestock,CH4,MtCO2e
lsmm,AG - Livestock,AG - Livestock:N2O,Agriculture,AG - Livestock,N2O,MtCO2e
lvst,AG - Livestock,AG - Livestock:CH4,Agriculture,AG - Livestock,CH4,MtCO2e
ccsq,CCSQ,CCSQ:CH4,CCSQ,CCSQ,CH4,MtCO2e
ccsq,CCSQ,CCSQ:CO2,CCSQ,CCSQ,CO2,MtCO2e
ccsq,CCSQ,CCSQ:N2O,CCSQ,CCSQ,N2O,MtCO2e
scoe,EN - Building,EN - Building:CH4,Energy,EN - Building,CH4,MtCO2e
scoe,EN - Building,EN - Building:CO2,Energy,EN - Building,CO2,MtCO2e
scoe,EN - Building,EN - Building:N2O,Energy,EN - Building,N2O,MtCO2e
entc,EN - Electricity/Heat,EN - Electricity/Heat:CH4,Energy,EN - Electricity/Heat,CH4,MtCO2e
entc,EN - Electricity/Heat,EN - Electricity/Heat:CO2,Energy,EN - Electricity/Heat,CO2,MtCO2e
entc,EN - Electricity/Heat,EN - Electricity/Heat:N2O,Energy,EN - Electricity/Heat,N2O,MtCO2e
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:CH4,Energy,EN - Fugitive Emissions,CH4,MtCO2e
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:CO2,Energy,EN - Fugitive Emissions,CO2,MtCO2e
fgtv,EN - Fugitive Emissions,EN - Fugitive Emissions:N2O,Energy,EN - Fugitive Emissions,N2O,MtCO2e
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:CH4,Energy,EN - Manufacturing/Construction,CH4,MtCO2e
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:CO2,Energy,EN - Manufacturing/Construction,CO2,MtCO2e
inen,EN - Manufacturing/Construction,EN - Manufacturing/Construction:N2O,Energy,EN - Manufacturing/Construction,N2O,MtCO2e
trns,EN - Transportation,EN - Transportation:CH4,Energy,EN - Transportation,CH4,MtCO2e
trns,EN - Transportation,EN - Transportation:CO2,Energy,EN - Transportation,CO2,MtCO2e
trns,EN - Transportation,EN - Transportation:N2O,Energy,EN - Transportation,N2O,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,HFC,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:CH4,Industrial Processes,IN - Industrial Processes,CH4,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:CO2,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:N2O,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:PFC,Industrial Processes,IN - Industrial Processes,PFC,MtCO2e
ippu,IN - Industrial Processes,IN - Industrial Processes:SF6,Industrial Processes,IN - Industrial Processes,SF6,MtCO2e
lndu,LULUCF - Deforestation,LULUCF - Deforestation:CH4,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CH4,MtCO2e
lndu,LULUCF - Deforestation,LULUCF - Deforestation:CO2,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CO2,MtCO2e
frst,LULUCF - Forest Land,LULUCF - Forest Land:CH4,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CH4,MtCO2e
frst,LULUCF - Forest Land,LULUCF - Forest Land:CO2,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CO2,MtCO2e
soil,LULUCF - Organic Soil,LULUCF - Organic Soil:CO2,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,CO2,MtCO2e
soil,LULUCF - Organic Soil,LULUCF - Organic Soil:N2O,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,N2O,MtCO2e
lndu,LULUCF - Other Land,LULUCF - Other Land:CO2,"Land Use, Land Use Change, and Forestry",LULUCF - Other Land,CO2,MtCO2e
waso,Waste - Solid Waste,Waste - Solid Waste:CH4,Waste,Waste - Solid Waste,CH4,MtCO2e
waso,Waste - Solid Waste,Waste - Solid Waste:CO2,Waste,Waste - Solid Waste,CO2,MtCO2e
waso,Waste - Solid Waste,Waste - Solid Waste:N2O,Waste,Waste - Solid Waste,N2O,MtCO2e
trww,Waste - Wastewater Treatment,Waste - Wastewater Treatment:CH4,Waste,Waste - Wastewater Treatment,CH4,MtCO2e
trww,Waste - Wastewater Treatment,Waste - Wastewater Treatment:N2O,Waste,Waste - Wastewater Treatment,N2O,MtCO2e
